,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode,Rubric_new,Rubric_unq,RubricCount,Elements,ElementCount,WordCount
1568,"""Be careful not tooverly summarise (gloss) over the recommendations. It should be clear to thereader why they are important and what specific actions the reader should taketo implement them.; For example, you could include examples or case studies for some of the broaderrecommendations so the reader knows how to implement."" 61","""Be careful not tooverly summarise (gloss) over the recommendations. It should be clear to thereader why they are important and what specific actions the reader should taketo implement them.; For example, you could include examples or case studies for some of the broaderrecommendations so the reader knows how to implement."" ",Impact 1,61,275,Impact1,Impact1,1,Impact,1,50
1569,Well done guys! 69.3,Well done guys!,Agency 2,69.3,276,Agency2,Agency2,1,Agency,1,3
1573,"Regards,Pooneh;"" 68","Regards,Pooneh;"" ",Agency 3,68,277,Agency2 Sensemaking1 Sensemaking1 Agency3,Agency2 Sensemaking1 Agency3,3,Agency Sensemaking,2,1
1577,"It is also not clear who was at the meeting and there is not a lot of detail provided. """"Identify solution of the problem"""" - that is a huge task!"" 65","It is also not clear who was at the meeting and there is not a lot of detail provided. """"Identify solution of the problem"""" - that is a huge task!"" ",Sensemaking 1,65,278,Sensemaking1 Impact1 Impact1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,30
1579,This is not an essay. The focus should be on the practical application of the theory - not the theory itself. The report should be focused on the problem and practical solutions / insights to help the reader understand and address that problem. The reader should be able to walk away with practical and tangible recommendations they can implement. 76.5,This is not an essay. The focus should be on the practical application of the theory - not the theory itself. The report should be focused on the problem and practical solutions / insights to help the reader understand and address that problem. The reader should be able to walk away with practical and tangible recommendations they can implement.,Impact 2,76.5,279,Impact3 Impact2,Impact3 Impact2,2,Impact,1,59
1603,"Keep your minute template consistent for future meetings.;"" 48","Keep your minute template consistent for future meetings.;"" ",Impact 1,48,280,Sensemaking1 Impact1 Sensemaking1 Impact2 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact1,Sensemaking1 Impact1 Impact2 Impact3 Agency1,5,Sensemaking Impact Agency,3,8
1607,;I appreciate the effort. 70,;I appreciate the effort.,Agency 2,70,281,Agency2 Sensemaking1 Sensemaking2 Agency2,Agency2 Sensemaking1 Sensemaking2,3,Agency Sensemaking,2,4
1609,Excellent collaborations. 75,Excellent collaborations.,Sensemaking 1,75,282,Agency2 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,2
1615,Be helpful: Offer suggestions for improvement 72,Be helpful: Offer suggestions for improvement,Impact 1,72,283,Agency2 Sensemaking2 Sensemaking1 Impact1 Impact1 Impact1,Agency2 Sensemaking2 Sensemaking1 Impact1,4,Agency Sensemaking Impact,3,6
1625,"Number headings, include more sub headings to break up large sections of text and greater use of bullet points to make the report more succinct and easier to read.;"" 63","Number headings, include more sub headings to break up large sections of text and greater use of bullet points to make the report more succinct and easier to read.;"" ",Impact 1,63,284,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact3 Impact1 Impact1,Sensemaking1 Impact1 Impact3,3,Sensemaking Impact,2,29
1629,The only thing missing was information on the pre-cycling checklist - what is it and what is the benefit for me (the user). 75,The only thing missing was information on the pre-cycling checklist - what is it and what is the benefit for me (the user).,Sensemaking 1,75,285,Agency2 Sensemaking2 Sensemaking1 Sensemaking1,Agency2 Sensemaking2 Sensemaking1,3,Agency Sensemaking,2,23
1636,"The conclusion should have had the Ethical dilemma part more clearly mentioned, but overall good work done."" 72","The conclusion should have had the Ethical dilemma part more clearly mentioned, but overall good work done."" ",Sensemaking 1&Agency 2,72,286,Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency2,Agency2 Sensemaking1,2,Agency Sensemaking,2,17
1640,Minutes must include what was discussed/suggestions/outcomes; 69,Minutes must include what was discussed/suggestions/outcomes;,Impact 1,69,287,Sensemaking1 Sensemaking1 Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,6
1647,"In this type of feedback, I suggest writing in bullet points with a clear indication of what needs to be improved, why it needs to be improved, and how it can be improved.;;;"" 68","In this type of feedback, I suggest writing in bullet points with a clear indication of what needs to be improved, why it needs to be improved, and how it can be improved.;;;"" ",Sensemaking 1,68,288,Agency3 Agency2 Sensemaking1 Sensemaking2 Sensemaking1 Impact1 Sensemaking1 Sensemaking1,Agency3 Agency2 Sensemaking1 Sensemaking2 Impact1,5,Agency Sensemaking Impact,3,33
1651,"Regards,Pooneh;"" 76","Regards,Pooneh;"" ",Agency 3,76,289,Agency2 Sensemaking2 Sensemaking1 Sensemaking1 Agency3,Agency2 Sensemaking2 Sensemaking1 Agency3,4,Agency Sensemaking,2,1
1656,"Good effort."" 56.7","Good effort."" ",Agency 2,56.7,290,Sensemaking1 Impact2 Sensemaking1 Sensemaking1 Sensemaking1 Agency2,Sensemaking1 Impact2 Agency2,3,Sensemaking Impact Agency,3,2
1660,"Be helpful: Offer suggestions for improvement"" 65","Be helpful: Offer suggestions for improvement"" ",Impact 1,65,291,Impact1 Impact1 Impact1 Impact1,Impact1,1,Impact,1,6
1661,well done....most feedback incorporated 75,well done....most feedback incorporated,Agency 2&Sensemaking 2,75,292,Agency2 Sensemaking2,Agency2 Sensemaking2,2,Agency Sensemaking,2,4
1668,"I really enjoyed teaching you.Peter H."" 50.4","I really enjoyed teaching you.Peter H."" ",Agency 3,50.4,293,Sensemaking2 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Agency3 Agency3,Sensemaking2 Sensemaking1 Agency3,3,Sensemaking Agency,2,6
1677,"-Actionable items missing."" 64","-Actionable items missing."" ",Sensemaking 1,64,294,Sensemaking2 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1,Sensemaking2 Sensemaking1 Impact1,3,Sensemaking Impact,2,3
1683,"Discuss how key challenges relevant to these two issues and what would you recommend in relation to them. "" 73.5","Discuss how key challenges relevant to these two issues and what would you recommend in relation to them. "" ",Impact 1,73.5,295,Sensemaking2 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1,Sensemaking2 Sensemaking1 Impact1,3,Sensemaking Impact,2,19
1687,-;Presentation could have been more aligned to the question; 78,-;Presentation could have been more aligned to the question;,Sensemaking 1,78,296,Agency2 Impact1 Impact1 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,9
1693,Your outcomes and action plans were well written. 55,Your outcomes and action plans were well written.,Sensemaking 1,55,297,Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,8
1696,In one section you have addressed in second person which should have been avoided 76,In one section you have addressed in second person which should have been avoided,Sensemaking 1,76,298,Sensemaking1 Sensemaking1 Sensemaking1,Sensemaking1,1,Sensemaking,1,14
1713,"Keep your minute template consistent for future meetings."" 67","Keep your minute template consistent for future meetings."" ",Impact 2,67,299,Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Impact1 Impact1 Impact1 Impact2,Impact1 Impact3 Impact2,3,Impact,1,8
1733,"Keep your minute template consistent for future meetings."" 62","Keep your minute template consistent for future meetings."" ",Impact 2,62,300,Impact1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact2,Impact1 Sensemaking1 Impact3 Agency1 Impact2,5,Impact Sensemaking Agency,3,8
1739,One area that I would have given more feedback on was the amount of information on the site - it was at first very confusing and hard to navigate as the page was very full of various information all positioned closely together. 70,One area that I would have given more feedback on was the amount of information on the site - it was at first very confusing and hard to navigate as the page was very full of various information all positioned closely together.,Sensemaking 1,70,301,Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,42
1759,"Keep your minute template consistent for futuremeetings. "" 70","Keep your minute template consistent for futuremeetings. "" ",Impact 2,70,302,Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact2,Sensemaking1 Impact1 Impact3 Agency1 Impact2,5,Sensemaking Impact Agency,3,8
1772,"Wishing you all the best in your future endeavours."" 73","Wishing you all the best in your future endeavours."" ",Agency 3,73,303,Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Agency2 Sensemaking2 Agency3,Sensemaking2 Sensemaking1 Impact1 Agency2 Agency3,5,Sensemaking Impact Agency,3,9
1774,Good job on incorporating the feedback. 70,Good job on incorporating the feedback.,Sensemaking 2,70,304,Agency2 Sensemaking2,Agency2 Sensemaking2,2,Agency Sensemaking,2,6
1778,"You also adopted the right tone and weren't too harsh or overly judgemental, and you offered some really helpful suggestions."" 85","You also adopted the right tone and weren't too harsh or overly judgemental, and you offered some really helpful suggestions."" ",Sensemaking 1,85,305,Agency2 Sensemaking2 Sensemaking1 Sensemaking1,Agency2 Sensemaking2 Sensemaking1,3,Agency Sensemaking,2,20
1786,"Instead of suggesting selecting a communication method, you need to recommend the best communication method or method. "" 66.5","Instead of suggesting selecting a communication method, you need to recommend the best communication method or method. "" ",Impact 1,66.5,306,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,18
1793,"Good luck with your final exam!"" 67","Good luck with your final exam!"" ",Agency 3,67,307,Agency2 Sensemaking1 Sensemaking2 Impact1 Impact1 Sensemaking2 Sensemaking1 Agency3,Agency2 Sensemaking1 Sensemaking2 Impact1 Agency3,5,Agency Sensemaking Impact,3,6
1817,"Keep your minute template consistent for future meetings."" 50","Keep your minute template consistent for future meetings."" ",Impact 2,50,308,Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact2,Sensemaking1 Impact1 Impact3 Agency1 Impact2,5,Sensemaking Impact Agency,3,8
1819,It looks great and I wish you all the best for the expo.; 78,It looks great and I wish you all the best for the expo.;,Agency 2&Agency 3,78,309,Agency2 Agency2 Agency3,Agency2 Agency3,2,Agency,1,13
1820,"""Suggest you expand on the next steps to ensure that if a new person joined the team , the actions would be easy to understand. "" 70","""Suggest you expand on the next steps to ensure that if a new person joined the team , the actions would be easy to understand. "" ",Impact 1,70,310,Impact1,Impact1,1,Impact,1,26
1831,"Implications of the Z Process – ie. risk that the new teams nolonger have the complementary workflow strengths/skills needed to completetheir projects successfully (mix of creators, advancers, refiners andexecutors)."" 78","Implications of the Z Process – ie. risk that the new teams nolonger have the complementary workflow strengths/skills needed to completetheir projects successfully (mix of creators, advancers, refiners andexecutors)."" ",Impact 1,78,311,Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1,Sensemaking2 Sensemaking1 Impact1,3,Sensemaking Impact,2,29
1852,"Keep your minute templateconsistent for future meetings."" 57","Keep your minute templateconsistent for future meetings."" ",Impact 2,57,312,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact2,Sensemaking1 Impact1 Impact3 Agency1 Impact2,5,Sensemaking Impact Agency,3,7
1857,Statistics to support the problem at the start should stand out.; 68,Statistics to support the problem at the start should stand out.;,Impact 1,68,313,Agency2 Agency3 Impact1 Sensemaking1 Impact1,Agency2 Agency3 Impact1 Sensemaking1,4,Agency Impact Sensemaking,3,11
1885,"Keep your minute template consistent for future meetings. "" 80","Keep your minute template consistent for future meetings. "" ",Impact 2,80,314,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Impact3 Impact1 Impact1 Agency1 Impact1 Impact1 Impact2,Sensemaking1 Impact1 Impact3 Agency1 Impact2,5,Sensemaking Impact Agency,3,9
1886,More detail on the negative aspects of facial recognition would have been good. 70,More detail on the negative aspects of facial recognition would have been good.,Sensemaking 1,70,315,Sensemaking1,Sensemaking1,1,Sensemaking,1,13
1891,";Good to see positive feedback included.;"" 68",";Good to see positive feedback included.;"" ",Sensemaking 1,68,316,Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,6
1896,Be helpful: Offer suggestions for improvement 71,Be helpful: Offer suggestions for improvement,Impact 1,71,317,Agency2 Sensemaking1 Impact1 Impact1 Impact1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,6
1905,"Ensure your report is written for your audience - it needs to be focused on the needs of a senior executive in your organisation, not your Monash tutor. """""" 56","Ensure your report is written for your audience - it needs to be focused on the needs of a senior executive in your organisation, not your Monash tutor. """""" ",Impact 3,56,318,Sensemaking1 Impact3 Impact2 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact3 Impact1 Impact1 Impact3,Sensemaking1 Impact3 Impact2 Impact1,4,Sensemaking Impact,2,29
1916,"Becareful not to overly summarise (gloss) over the recommendations. It should beclear to the reader why they are important and what specific actions the readershould take to implement them.; For example, you could include examples orcase studies for some of the broader recommendations, so the reader knows howto implement them.·; ; ; ;;"" 63","Becareful not to overly summarise (gloss) over the recommendations. It should beclear to the reader why they are important and what specific actions the readershould take to implement them.; For example, you could include examples orcase studies for some of the broader recommendations, so the reader knows howto implement them.·; ; ; ;;"" ",Impact 1,63,319,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact3 Impact2 Impact1 Sensemaking1 Impact1 Impact3 Impact1,Sensemaking1 Impact3 Impact2 Impact1,4,Sensemaking Impact,2,53
