,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode
2671,"First, while you have obtained the correct answers for first three questions, you have missed one of the assignment specifications. In other words, you were supposed to annotate the matlab script and show step by step how you achieved the results.","First, while you have obtained the correct answers for first three questions, you have missed one of the assignment specifications. In other words, you were supposed to annotate the matlab script and show step by step how you achieved the results.",Sensemaking 2&Sensemaking 1,63.33,403
2672,"Secondly, for the boxplot, in your annotations, you could have labelled the outliers and also the axis properly.","Secondly, for the boxplot, in your annotations, you could have labelled the outliers and also the axis properly.",Sensemaking 1,63.33,403
2673,Please pay closer attention to assignment specifications next time.,Please pay closer attention to assignment specifications next time.,Impact 2,63.33,403
2674,"Shwetank, there are several ways to improve your work.","Shwetank, there are several ways to improve your work.",Agency 1,63.33,403
2675,"First, for the null hypothesis, the statement you have added is incorrect. In a null hypothesis, you have to show that there is no relationship between online class attendance and results.","First, for the null hypothesis, the statement you have added is incorrect. In a null hypothesis, you have to show that there is no relationship between online class attendance and results.",Sensemaking 1&Impact 1,63.33,403
2676,"In addition, for question 4, 5 and 6, it would have been better if the answers were more comprehensive. For example, for question 4, you need to explicitly state what data collection you would adopt (e.g. Survey/experiment).","In addition, for question 4, 5 and 6, it would have been better if the answers were more comprehensive. For example, for question 4, you need to explicitly state what data collection you would adopt (e.g. Survey/experiment).",Sensemaking 1&Impact 1,63.33,403
2677,"For question 5, , you could also include the assumptions that led you to select Mann-Whitney U test to analyse your data.","For question 5, , you could also include the assumptions that led you to select Mann-Whitney U test to analyse your data.",Impact 1,63.33,403
2678,"Shwetank, you have done a good job with week 9 tasks.","Shwetank, you have done a good job with week 9 tasks.",Agency 2,63.33,403
2679,"To improve your answers better, especially, for question 1, you could have shown how did you figure out the numbers for the confusion matrix by including a screenshot of your working out.","To improve your answers better, especially, for question 1, you could have shown how did you figure out the numbers for the confusion matrix by including a screenshot of your working out.",Sensemaking 1,63.33,403
2680,"You received 12 marks for Week 7, 12 marks for Week 8 and 14 marks for Week 9"" 63.33","You received 12 marks for Week 7, 12 marks for Week 8 and 14 marks for Week 9"" ",Agency 1,63.33,403
